country,pind,pindo,ctrycd,col_uk,t_indep,col_uka,col_espa,col_otha,legor_uk,legor_so,legor_fr,legor_ge,legor_sc,prot80,catho80,confu,avelf,govef,graft,logyl,loga,yrsopen,gadp,engfrac,eurfrac,frankrom,latitude,gastil,cgexp,cgrev,ssw,rgdph,trade,prop1564,prop65,federal,africa,laam,eduger,spropn,yearele,yearreg,seats,maj,pres,lyp,semi,majpar,majpres,propres,dem_age,lpop,lat01,age,polityIV,spl,cpi9500,du_60ctry,magn,sdm,asiae,oecd,mining_gdp,gini_8090,con2150,con5180,con81,list,maj_bad,maj_gin,maj_old,pres_bad,pres_gin,pres_old,propar,wom_1st,yr_1st,wom_2nd,yr_2nd,wom_3rd,yr_3rd,wom_4th,yr_4th,LFTPARTY,FEMSUFRG,DEMOC,MARXLEN,FEMEDUC,FEMLABOR,FEMPROF,FEMORG,GDPPC,REL.CATH,REL.ISLM,REL.OTHR,RATIFIC,ABORTLEG
New Zeland,0.8472222,0.8472222,196,1,92,0.632,0,0,1,0,0,0,0,37.9,18.7,0,0.1475699,1.857426,0.8501158,10.14265,8.36672,0.2,0.986,0.9,0.9,2.103,-36.892,1,35.98045,36.41199,13.46895,12088.63,58.07035,64.95579,12.12238,0,0,0,101.45,0,1906,1906,105.3333,1,0,9.400021,0,0.6666667,0,0,1906,1.270993,0.4099111,0.47,10,1.635295,0.5983335,1,0.85,0.1383285,0,1,1.350698,38,0,0,0,16.09259,1,38,0.47,0,0,0,0,28.3,2002,30.8,1999,29.2,1996,21.2,1993,41.7,1893,7,0,49,36,47.91666667,1,16851,0,0,0,1,0
Nicaragua,0,0,278,0,178,0,0.288,0,0,0,1,0,0,4.4,94.7,0,0.0991796,6.094335,6.672212,8.40128,7.5563,0.333,0.523,0.009,0.655,3.155,12.211,3.444444,31.00764,23.49779,5.0653,1322.485,87.20344,51.95702,3.019467,0,0,1,78.4875,0.0537634,1990,1990,90,0,1,7.187268,0,0,0,1,1990,1.460596,0.1356778,0.05,6.888889,-0.8717377,6.95,1,0.1333333,0.1135647,0,0,0.6999679,50,0,0,1,90,0,0,0,3.444444,50,0.05,0,20.7,2001,9.7,1996,16.3,1990,,, ,1955,5,0,53,30, ,1,1580,1,0,0,1,0
Norway,0,0,142,0,94,0,0,0.624,0,0,0,0,1,97.8,0.3,0,0.0698837,1.667565,1.626909,10.20004,8.46829,0.778,0.968,0,0,3.159,59.977,1,39.8812,41.10329,14.82228,16720.48,72.23154,64.72184,16.07296,0,0,0,106.7714,0,1919,1898,165,0,0,9.724389,0,0,0,0,1898,1.466678,0.6664111,0.51,10,-1.66249,1.1,1,0.1151515,0.1151515,0,1,12.94106,33,0,0,0,165,0,0,0,0,0,0,1,38.2,2001,36.4,1997,39.4,1993,,,44.8,1913,7,0,50,41,56.52173913,4,21346,0,0,0,1,1
Pakistan,1,1,564,1,52,0.792,0,0,1,0,0,0,0,0.8,0.5,0,0.6216,6.488889,6.537586,8.42324,8.25711,0,0.453,0,0,2.084,31.173,4.277778,23.11274,17.22882,,1451.741,38.71352,53.93,3.040669,0,0,0,42.15,,1988,1988,217,1,1,7.280519,0,0,1,0,1988,4.783741,0.3463667,0.06,7.777778,-7.267537,7.864,0,1,0.1,1,0,0.534923,31.735,0,0,1,0,4.277778,31.735,0.06,4.277778,31.735,0.06,0,21.3,2002,2.3,1997,1.8,1993,0.9,1990, ,1947,4,0,26,13,18.03278689,0,2154,0,1,0,1,0
Papua N. Guin,1,1,853,1,24,0.904,0,0.904,1,0,0,0,0,58.4,32.8,0,0.8027273,6.388548,6.707344,7.9209,7.30179,0,0.625,0.015,0.015,2.319,-6.6,2.777778,30.81113,23.75834,0.3005187,1688.24,102.1299,57.51697,2.792986,0,0,0,46.6,0,1975,1975,107.7778,1,0,7.431442,0,1,0,0,1975,1.429777,0.0733333,0.125,10,-4.127749,,1,1,1,1,0,16.74266,,0,1,0,0,2.777778,,0.125,0,,0,0,0.9,2002,1.8,1997,0,1992,,, ,1964,6,0,31,38,29.57746479,0,2821,0,0,0,1,0
Paraguay,0,0,288,0,188,0,0.248,0,0,0,1,0,0,1.9,96,0,0.4111111,7.20031,6.916741,8.70208,7.85704,0.133,0.486,0,0.036,2.345,-25.583,3.333333,11.975,13.14907,1.779752,2202.636,86.43324,54.81356,3.830394,0,0,1,76.85,0.6875,1992,1992,77.33334,0,1,7.69741,0,0,0,1,1989,1.550572,0.2842556,0.055,5.777778,1.183004,8.25,1,0.2333333,0.0280676,0,0,0.3580757,42.5,0,0,1,77.33334,0,0,0,3.333333,42.5,0.055,0,2.5,1998,1993,2.5,5.6,1989,,, ,1961,4,0,50,20,51.2195122,1,3531,1,0,0,1,0
Peru,0,0,293,0,178,0,0.288,0,0,0,1,0,0,2.7,95.1,0,0.4315909,4.653071,5.399045,9.03439,7.93364,0.489,0.438,0,0.564,1.95,-11.794,4.388889,17.27761,13.64952,,2410.246,25.88982,59.25119,4.255049,0,0,1,97.2875,0.6,1979,1979,153.3333,0,1,7.787484,0,0,0,1,1979,3.142715,0.1310444,0.105,2.111111,-1.245509,5.533333,1,0.0067901,0.0083333,0,0,1.895112,44,0,1,0,153.3333,0,0,0,4.388889,44,0.105,0,18.3,2001,20,2000,10.8,1995,8.8,1992, ,1955,4,0,45,24,40.82840237,1,3645,1,0,0,1,0
Philippines,0.9777778,0.9777778,566,0,53,0,0.788,0.788,0,0,1,0,0,3.8,84.1,0,0.7238207,4.747079,5.456181,8.40576,7.32593,0.156,0.407,0,0,2.179,13.922,2.944444,18.89076,18.18111,0.4373562,1759.439,80.63206,57.64063,3.556657,0,0,0,98.7375,0.359375,1990,1987,202.8889,1,1,7.47275,0,0,0.8888889,0.1111111,1987,4.2308,0.1546889,0.065,7.888889,-0.7918076,6.965,1,0.9782051,0.0087719,1,0,1.043809,45.5,0,0,1,4.508642,2.944444,45.5,0.065,2.944444,45.5,0.065,0,17.8,2001,12.4,1998,8.8,1995,10.7,1992, ,1937,6,0,53,31,63.23529412,7,2681,1,0,0,1,0
Poland,0,1,964,0,81,0,0,0.676,0,1,0,0,0,0.1,81,0,0.039,3.651956,4.016194,9.04059,7.3767,0.111,0.694,0,0.04,2.628,50.244,1.777778,39.48863,40.33121,19.75605,4330.115,48.27744,66.04733,10.82261,0,0,0,95.9,0.0657609,1989,1989,460,0,0,8.373349,0,0,0,0,1989,3.649943,0.5582666,0.055,8.111111,-1.666985,5.29,0,0.1130435,0.1236873,0,0,3.355171,25.555,0,0,1,460,0,0,0,0,0,0,1,20.2,2001,13,1997,13,1993,9.6,1991, ,1918,7,0,50,45,60.31746032,0,5002,1,0,0,1,0
Portugal,0,0,182,0,250,0,0,0,0,0,1,0,0,1.1,94.1,0,0.0025,2.697592,2.564186,9.46966,8.54628,0.778,0.811,0,1,2.933,38.816,1.055556,41.66164,34.53674,12.21131,8104.759,68.45359,66.1926,15.20466,0,0,0,107.9667,0,1976,1976,232.2222,0,0,9.000207,0,0,0,0,1976,2.293511,0.4312889,0.12,10,-4.234857,3.556667,1,0.0948019,0.0946237,0,1,0.4259682,36.5,0,1,0,232.2222,0,0,0,0,0,0,1,19.1,2002,18.7,1999,13,1995,8.7,1991,,1931,7,0,48,36,54.33789954,3,12326,1,0,0,1,0
